iteration,score
48,0
98,0
148,0
198,0
248,0
298,0
348,0
398,0
448,0
498,0
548,0
598,0
648,0
698,0
748,0
798,0
848,0
898,0
948,0
998,0
1048,0
1098,0
1148,0
1198,0
1248,0
1298,0
1348,0
1398,0
1448,0
1498,0
1548,0
1598,0
1648,0
1698,0
1748,0
1798,0
1848,0
1898,0
1948,0
1998,0
2048,0
2098,0
2148,0
2198,0
2248,0
2298,0
2348,0
2398,0
2448,0
2498,0
2548,0
2598,0
2648,0
2698,0
2748,0
2798,0
2848,0
2898,0
2948,0
2998,0
3048,0
3098,0
3148,0
3198,0
3248,0
3298,0
3348,0
3398,0
3448,0
3498,0
3548,0
3598,0
3648,0
3698,0
3748,0
3798,0
3848,0
3898,0
3948,0
3998,0
4048,0
4098,0
4148,0
4198,0
4248,0
4298,0
4348,0
4398,0
4448,0
4498,0
4548,0
4598,0
4648,0
4698,0
4748,0
4798,0
4848,0
4898,0
4948,0
4998,0
5048,0
5098,0
5148,0
5198,0
5248,0
5298,0
5348,0
5398,0
5448,0
5498,0
5548,0
5598,0
5648,0
5698,0
5748,0
5798,0
5848,0
5898,0
5948,0
5998,0
6048,0
6098,0
6148,0
6198,0
6248,0
6298,0
6348,0
6398,0
6448,0
6498,0
6548,0
6598,0
6648,0
6698,0
6748,0
6798,0
6848,0
6898,0
6948,0
6998,0
7048,0
7098,0
7148,0
7198,0
7248,0
7298,0
7348,0
7398,0
7448,0
7498,0
7548,0
7598,0
7648,0
7698,0
7748,0
7798,0
7848,0
7898,0
7948,0
7998,0
8048,0
8098,0
8148,0
8198,0
8248,0
8298,0
8348,0
8398,0
8448,0
8498,0
8548,0
8598,0
8648,0
8698,0
8748,0
8798,0
8848,0
8898,0
8948,0
8998,0
9048,0
9098,0
9148,0
9198,0
9248,0
9298,0
9348,0
9398,0
9448,0
9498,0
9548,0
9598,0
9648,0
9698,0
9748,0
9798,0
9848,0
9898,0
9948,0
9998,0
10048,0
10098,0
10148,0
10198,0
10248,0
10298,0
10348,0
10398,0
10448,0
10498,0
10548,0
10598,0
10648,0
10698,0
10748,0
10798,0
10848,0
10898,0
10948,0
10998,0
11048,0
11098,0
11148,0
11198,0
11248,0
11298,0
11348,0
11398,0
11448,0
11498,0
11548,0
11598,0
11648,0
11698,0
11748,0
11798,0
11848,0
11898,0
11948,0
11998,0
12048,0
12098,0
12148,0
12198,0
12248,0
12298,0
12348,0
12398,0
12448,0
12498,0
12548,0
12598,0
12649,0
12699,0
12749,0
12799,0
12849,0
12899,0
12949,0
12999,0
13049,0
13099,0
13149,0
13199,0
13249,0
13299,0
13349,0
13399,0
13449,0
13499,0
13549,0
13599,0
13649,0
13699,0
13749,0
13799,0
13849,0
13899,0
13949,0
13999,0
14049,0
14099,0
14150,0
14200,0
14250,0
14300,0
14350,0
14400,0
14452,0
14502,0
14552,0
14602,0
14652,0
14702,0
14753,0
14803,0
14853,0
14903,0
14954,0
15004,0
15054,0
15106,0
15156,0
15206,0
15256,0
15310,0
15361,0
15411,0
15461,0
15511,0
15563,0
15614,0
15664,0
15716,0
15771,0
15821,0
15871,0
15921,0
15971,0
16021,0
16075,0
16125,0
16175,0
16232,0
16283,0
16333,0
16383,0
16433,0
16483,0
16533,0
16586,0
16636,0
16686,0
16736,0
16790,0
16840,0
16897,0
16953,0
17003,0
17053,0
17103,0
17155,0
17211,0
17261,0
17311,0
17361,0
17413,0
17463,0
17513,0
17563,0
17613,0
17663,0
17713,0
17763,0
17827,0
17877,0
17927,0
17977,0
18027,0
18077,0
18127,0
18177,0
18227,0
18277,0
18327,0
18377,0
18432,0
18482,0
18544,0
18594,0
18644,0
18694,0
18744,0
18794,0
18844,0
18894,0
18944,0
18994,0
19044,0
19096,0
19150,0
19237,0
19295,0
19345,0
19395,0
19445,0
19495,0
19545,0
19595,0
19645,0
19695,0
19745,0
19795,0
19845,0
19902,0
19960,0
20010,0
20060,0
20122,0
20172,0
20222,0
20272,0
20322,0
20372,0
20428,0
20478,0
20528,0
20578,0
20628,0
20679,0
20729,0
20786,0
20836,0
20886,0
20936,0
20986,0
21036,0
21086,0
21136,0
21186,0
21236,0
21286,0
21337,0
21387,0
21438,0
21488,0
21538,0
21588,0
21638,0
21690,0
21740,0
21790,0
21840,0
21890,0
21940,0
21990,0
22041,0
22091,0
22141,0
22191,0
22241,0
22291,0
22341,0
22391,0
22441,0
22498,0
22557,0
22607,0
22657,0
22707,0
22757,0
22807,0
22857,0
22910,0
22960,0
23010,0
23060,0
23110,0
23160,0
23210,0
23260,0
23310,0
23360,0
23410,0
23460,0
23510,0
23560,0
23610,0
23680,0
23730,0
23785,0
23835,0
23885,0
23953,0
24003,0
24053,0
24103,0
24153,0
24211,0
24261,0
24311,0
24361,0
24411,0
24466,0
24516,0
24566,0
24616,0
24666,0
24717,0
24767,0
24817,0
24867,0
24917,0
24975,0
25025,0
25075,0
25125,0
25175,0
25225,0
25277,0
25327,0
25377,0
25427,0
25477,0
25527,0
25577,0
25627,0
25679,0
25736,0
25787,0
25837,0
25887,0
25937,0
25987,0
26039,0
26089,0
26139,0
26203,0
26253,0
26303,0
26353,0
26403,0
26455,0
26505,0
26555,0
26605,0
26655,0
26705,0
26756,0
26806,0
26863,0
26913,0
26963,0
27013,0
27063,0
27113,0
27163,0
27213,0
27265,0
27315,0
27365,0
27423,0
27473,0
27523,0
27573,0
27623,0
27673,0
27739,0
27789,0
27839,0
27889,0
27939,0
27989,0
28039,0
28089,0
28139,0
28189,0
28239,0
28289,0
28339,0
28389,0
28439,0
28489,0
28542,0
28592,0
28642,0
28692,0
28757,0
28807,0
28857,0
28907,0
28957,0
29007,0
29057,0
29107,0
29157,0
29207,0
29257,0
29307,0
29357,0
29407,0
29457,0
29507,0
29557,0
29608,0
29658,0
29708,0
29758,0
29808,0
29858,0
29908,0
29958,0
30008,0
30058,0
30108,0
30158,0
30208,0
30258,0
30308,0
30358,0
30408,0
30475,0
30528,0
30578,0
30628,0
30678,0
30764,0
30814,0
30864,0
30914,0
30964,0
31014,0
31064,0
31114,0
31164,0
31214,0
31264,0
31314,0
31364,0
31430,0
31480,0
31530,0
31580,0
31630,0
31680,0
31740,0
31790,0
31840,0
31890,0
31960,0
32010,0
32060,0
32110,0
32168,0
32218,0
32268,0
32318,0
32404,0
32454,0
32504,0
32554,0
32604,0
32657,0
32715,0
32765,0
32815,0
32865,0
32915,0
32965,0
33015,0
33065,0
33115,0
33165,0
33229,0
33285,0
33339,0
33389,0
33439,0
33489,0
33539,0
33592,0
33642,0
33692,0
33742,0
33792,0
33842,0
33892,0
33957,0
34007,0
34057,0
34108,0
34164,0
34214,0
34264,0
34314,0
34380,0
34431,0
34481,0
34532,0
34582,0
34632,0
34682,0
34734,0
34784,0
34834,0
34884,0
34934,0
34984,0
35036,0
35086,0
35172,0
35222,0
35275,0
35325,0
35375,0
35425,0
35477,0
35533,0
35588,0
35638,0
35690,0
35779,0
35832,0
35882,0
35935,0
35986,0
36049,0
36099,0
36155,0
36205,0
36255,0
36316,0
36366,0
36417,0
36473,0
36537,0
36587,0
36637,0
36687,0
36737,0
36787,0
36837,0
36887,0
36937,0
36987,0
37037,0
37087,0
37140,0
37190,0
37240,0
37290,0
37341,0
37391,0
37441,0
37492,0
37542,0
37592,0
37642,0
37692,0
37742,0
37795,0
37847,0
37900,0
37950,0
38000,0
38050,0
38100,0
38150,0
38236,0
38289,0
38340,0
38390,0
38440,0
38490,0
38540,0
38590,0
38640,0
38692,0
38745,0
38795,0
38845,0
38895,0
38945,0
38995,0
39047,0
39097,0
39153,0
39203,0
39253,0
39303,0
39353,0
39403,0
39453,0
39503,0
39563,0
39622,0
39713,0
39763,0
39814,0
39864,0
39915,0
39965,0
40015,0
40065,0
40115,0
40165,0
40215,0
40265,0
40324,0
40374,0
40437,0
40487,0
40538,0
40588,0
40638,0
40688,0
40741,0
40799,0
40849,0
40899,0
40949,0
40999,0
41049,0
41099,0
41158,0
41221,0
41271,0
41321,0
41384,0
41436,0
41486,0
41539,0
41589,0
41639,0
41689,0
41739,0
41789,0
41839,0
41889,0
41939,0
41989,0
42039,0
42089,0
42139,0
42189,0
42248,0
42298,0
42348,0
42398,0
42448,0
42498,0
42548,0
42598,0
42657,0
42707,0
42757,0
42807,0
42857,0
42907,0
42957,0
43011,0
43061,0
43111,0
43161,0
43211,0
43263,0
43325,0
43375,0
43425,0
43475,0
43525,0
43575,0
43627,0
43677,0
43727,0
43777,0
43827,0
43882,0
43934,0
43984,0
44034,0
44084,0
44134,0
44188,0
44238,0
44288,0
44347,0
44401,0
44451,0
44501,0
44551,0
44601,0
44651,0
44701,0
44753,0
44815,0
44871,0
44921,0
44971,0
45023,0
45073,0
45124,0
45174,0
45224,0
45274,0
45324,0
45374,0
45424,0
45474,0
45524,0
45574,0
45624,0
45678,0
45728,0
45778,0
45830,0
45897,0
45947,0
45999,0
46049,0
46099,0
46149,0
46199,0
46249,0
46306,0
46356,0
46406,0
46465,0
46515,0
46565,0
46615,0
46665,0
46715,0
46765,0
46818,0
46868,0
46925,0
46975,0
47035,0
47085,0
47135,0
47185,0
47249,0
47301,0
47351,0
47401,0
47458,0
47544,0
47594,0
47644,0
47694,0
47744,0
47803,0
47853,0
47903,0
47953,0
48003,0
48058,0
48108,0
48158,0
48216,0
48266,0
48324,0
48382,0
48432,0
48482,0
48532,0
48582,0
48632,0
48682,0
48733,0
48792,0
48842,0
48892,0
48942,0
49028,0
49078,0
49128,0
49185,0
49235,0
49292,0
49342,0
49392,0
49451,0
49503,0
49553,0
49604,0
49654,0
49704,0
49754,0
49804,0
49854,0
49904,0
49969,0
50024,0
50074,0
50124,0
50174,0
50224,0
50287,0
50351,0
50401,0
50451,0
50501,0
50554,0
50604,0
50654,0
50711,0
50761,0
50811,0
50861,0
50926,0
50981,0
51031,0
51081,0
51131,0
51181,0
51231,0
51281,0
51341,0
51391,0
51445,0
51495,0
51545,0
51596,0
51646,0
51700,0
51750,0
51800,0
51850,0
51900,0
51950,0
52000,0
52066,0
52116,0
52166,0
52219,0
52269,0
52319,0
52369,0
52419,0
52469,0
52519,0
52569,0
52619,0
52672,0
52722,0
52778,0
52828,0
52878,0
52928,0
52978,0
53064,0
53120,0
53170,0
53220,0
53270,0
53324,0
53374,0
53424,0
53474,0
53524,0
53579,0
53629,0
53683,0
53733,0
53783,0
53833,0
53887,0
53937,0
53987,0
54037,0
54087,0
54137,0
54187,0
54241,0
54337,0
54387,0
54437,0
54492,0
54542,0
54592,0
54642,0
54692,0
54758,0
54808,0
54877,0
54936,0
55024,0
55084,0
55137,0
55187,0
55237,0
55292,0
55342,0
55392,0
55442,0
55492,0
55550,0
55600,0
55650,0
55700,0
55786,0
55836,0
55886,0
55941,0
55991,0
56041,0
56091,0
56141,0
56197,0
56249,0
56299,0
56349,0
56399,0
56462,0
56512,0
56563,0
56613,0
56663,0
56721,0
56771,0
56821,0
56871,0
56935,0
56985,0
57041,0
57091,0
57145,0
57195,0
57245,0
57299,0
57349,0
57409,0
57459,0
57594,0
57644,0
57697,0
57747,0
57797,0
57850,0
57902,0
57988,0
58038,0
58088,0
58138,0
58188,0
58238,0
58288,0
58340,0
58390,0
58440,0
58490,0
58585,0
58635,0
58695,0
58745,0
58799,0
58850,0
58900,0
58950,0
59040,0
59090,0
59140,0
59190,0
59253,0
59303,0
59371,0
59421,0
59471,0
59524,0
59574,0
59624,0
59674,0
59724,0
59774,0
59832,0
59890,0
59940,0
59990,0
60040,0
60090,0
60142,0
60192,0
60242,0
60292,0
60350,0
60400,0
60465,0
60515,0
60572,0
60622,0
60672,0
60722,0
60772,0
60827,0
60880,0
60930,0
60980,0
61033,0
61083,0
61169,0
61219,0
61278,0
61339,0
61393,0
61443,0
61503,0
61553,0
61603,0
61653,0
61711,0
61761,0
61811,0
61867,0
61917,0
61975,0
62025,0
62075,0
62126,0
62212,0
62262,0
62312,0
62362,0
62412,0
62462,0
62514,0
62610,0
62660,0
62746,0
62801,0
62851,0
62901,0
62951,0
63002,0
63052,0
63112,0
63162,0
63212,0
63262,0
63312,0
63362,0
63412,0
63462,0
63525,0
63575,0
63630,0
63680,0
63730,0
63780,0
63866,0
63916,0
63966,0
64016,0
64074,0
64124,0
64179,0
64229,0
64279,0
64331,0
64381,0
64431,0
64481,0
64537,0
64587,0
64637,0
64687,0
64737,0
64789,0
64846,0
64896,0
64946,0
64996,0
65046,0
65105,0
65155,0
65205,0
65255,0
65305,0
65355,0
65405,0
65455,0
65515,0
65565,0
65615,0
65665,0
65715,0
65765,0
65822,0
65873,0
65923,0
65983,0
66033,0
66083,0
66133,0
66183,0
66233,0
66283,0
66335,0
66385,0
66443,0
66493,0
66553,0
66603,0
66653,0
66703,0
66753,0
66803,0
66853,0
66903,0
66954,0
67005,0
67063,0
67121,0
67171,0
67224,0
67274,0
67324,0
67374,0
67435,0
67485,0
67535,0
67585,0
67639,0
67706,0
67756,0
67811,0
67861,0
67915,0
67965,0
68015,0
68066,0
68116,0
68166,0
68216,0
68266,0
68316,0
68366,0
68417,0
68471,0
68521,0
68573,0
68623,0
68679,0
68729,0
68779,0
68829,0
68883,0
68933,0
69019,0
69069,0
69119,0
69172,0
69268,0
69323,0
69390,0
69446,0
69496,0
69546,0
69602,0
69652,0
69702,0
69752,0
69802,0
69852,0
69906,0
69956,0
70013,0
70075,0
70125,0
70175,0
70225,0
70275,0
70325,0
70375,0
70427,0
70477,0
70527,0
70582,0
70632,0
70692,0
70742,0
70792,0
70856,0
70906,0
70956,0
71006,0
71056,0
71106,0
71159,0
71221,0
71271,0
71325,0
71387,0
71437,0
71487,0
71547,0
71597,0
71655,0
71712,0
71762,0
71821,0
71882,0
71936,0
71986,0
72036,0
72096,0
72146,0
72233,0
72283,0
72333,0
72383,0
72433,0
72484,0
72534,0
72584,0
72635,0
72699,0
72753,0
72803,0
72866,0
72916,0
72966,0
73016,0
73066,0
73119,0
73169,0
73221,0
73271,0
73321,0
73371,0
73429,0
73483,0
73533,0
73583,0
73633,0
73719,0
73805,0
73869,0
73921,0
73973,0
74023,0
74073,0
74126,0
74176,0
74232,0
74283,0
74333,0
74383,0
74433,0
74483,0
74533,0
74624,0
74674,0
74726,0
74776,0
74826,0
74876,0
74926,0
74976,0
75026,0
75093,0
75143,0
75205,0
75291,0
75342,0
75401,0
75497,0
75547,0
75617,0
75667,0
75719,0
75781,0
75831,0
75881,0
75939,0
75989,0
76039,0
76102,0
76188,0
76238,0
76288,0
76338,0
76388,0
76441,0
76492,0
76546,0
76637,0
76688,0
76741,0
76828,0
76931,0
76993,0
77085,0
77135,0
77185,0
77278,0
77329,0
77379,0
77449,0
77499,0
77549,0
77649,0
77699,0
77749,0
77805,0
77855,0
77950,0
78016,0
78066,0
78116,0
78166,0
78216,0
78266,0
78316,0
78366,0
78429,0
78479,0
78529,0
78579,0
78643,0
78696,0
78746,0
78812,0
78870,0
78921,0
78973,0
79026,0
79112,0
79162,0
79212,0
79267,0
79318,0
79384,0
79434,0
79486,0
79545,0
79595,0
79648,0
79701,0
79755,0
79805,0
79856,0
79906,0
79956,0
80008,0
80058,0
80112,0
80162,0
80212,0
80262,0
80312,0
80362,0
80418,0
80468,0
80518,0
80568,0
80621,0
80671,0
80721,0
80812,0
80871,0
80925,0
80976,0
81026,0
81082,0
81133,0
81183,0
81233,0
81291,0
81341,0
81391,0
81442,0
81492,0
81550,0
81615,0
81671,0
81721,0
81771,0
81821,0
81871,0
81930,0
81981,0
82031,0
82081,0
82137,0
82187,0
82237,0
82302,0
82352,0
82409,0
82463,0
82520,0
82579,0
82640,0
82690,0
82746,0
82796,0
82846,0
82896,0
82946,0
83001,0
83057,0
83110,0
83170,0
83257,0
83307,0
83357,0
83407,0
83457,0
83521,0
83571,0
83621,0
83671,0
83721,0
83771,0
83821,0
83873,0
83923,0
83973,0
84023,0
84073,0
84125,0
84176,0
84271,0
84321,0
84371,0
84421,0
84473,0
84523,0
84573,0
84623,0
84710,0
84760,0
84810,0
84860,0
84910,0
84960,0
85010,0
85060,0
85120,0
85177,0
85272,0
85328,0
85384,0
85434,0
85484,0
85534,0
85584,0
85634,0
85684,0
85739,0
85789,0
85839,0
85898,0
85952,0
86011,0
86061,0
86111,0
86161,0
86230,0
86281,0
86335,0
86385,0
86435,0
86485,0
86535,0
86595,0
86648,0
86703,0
86753,0
86803,0
86853,0
86912,0
86969,0
87027,0
87077,0
87134,0
87192,0
87242,0
87303,0
87359,0
87409,0
87459,0
87509,0
87559,0
87609,0
87665,0
87725,0
87775,0
87869,0
87919,0
87982,0
88032,0
88120,0
88170,0
88220,0
88279,0
88332,0
88388,0
88438,0
88488,0
88574,0
88627,0
88677,0
88745,0
88795,0
88845,0
88906,0
88969,0
89020,0
89078,0
89144,0
89194,0
89244,0
89299,0
89349,0
89399,0
89462,0
89516,0
89576,0
89642,0
89693,0
89752,0
89802,0
89852,0
89918,0
89968,0
90026,0
90093,0
90144,0
90204,0
90260,0
90310,0
90360,0
90410,0
90475,0
90525,0
90575,0
90625,0
90675,0
90725,0
90775,0
90825,0
90875,0
90929,0
90985,0
91035,0
91091,0
91147,0
91197,0
91247,0
91298,0
91354,0
91404,0
91467,0
91529,0
91615,0
91683,0
91740,0
91801,0
91858,0
91908,0
91958,0
92017,0
92078,0
92128,0
92178,0
92228,0
92283,0
92352,0
92412,0
92466,0
92534,0
92584,0
92634,0
92684,0
92734,0
92786,0
92836,0
92886,0
92943,0
93003,0
93053,0
93110,0
93161,0
93212,0
93266,0
93322,0
93383,0
93439,0
93537,0
93590,0
93640,0
93692,0
93751,0
93801,0
93853,0
93903,0
93953,0
94003,0
94064,0
94114,0
94164,0
94214,0
94273,0
94329,0
94379,0
94439,0
94499,0
94560,0
94610,0
94662,0
94725,0
94787,0
94837,0
94888,0
94942,0
95002,0
95052,0
95102,0
95188,0
95239,0
95296,0
95356,0
95406,0
95463,0
95522,0
95579,0
95639,0
95695,0
95746,0
95796,0
95854,0
95904,0
95954,0
96010,0
96068,0
96118,0
96211,0
96267,0
96335,0
96385,0
96435,0
96492,0
96542,0
96592,0
96642,0
96703,0
96753,0
96808,0
96872,0
96928,0
96989,0
97045,0
97095,0
97145,0
97239,0
97325,0
97390,0
97440,0
97499,0
97555,0
97610,0
97660,0
97728,0
97779,0
97829,0
97883,0
97949,0
98011,0
98061,0
98114,0
98164,0
98221,0
98277,0
98327,0
98377,0
98433,0
98520,0
98570,0
98620,0
98689,0
98740,0
98840,0
98890,0
98940,0
98990,0
99040,0
99097,0
99158,0
99208,0
99269,0
99323,0
99381,0
99439,0
99495,0
99588,0
99638,0
99688,0
99747,0
99806,0
99856,0
99908,0
99958,0
100008,0
100058,0
100108,0
100163,0
100213,0
100263,0
100356,0
100408,0
100458,0
100508,0
100565,0
100615,0
100665,0
100719,0
100782,0
100832,0
100887,0
100954,0
101004,0
101054,0
101104,0
101154,0
101204,0
101254,0
101310,0
101365,0
101451,0
101501,0
101551,0
101619,0
101675,0
101726,0
101776,0
101830,0
101880,0
101930,0
101980,0
102066,0
102116,0
102183,0
102247,0
102297,0
102347,0
102397,0
102447,0
102503,0
102553,0
102612,0
102673,0
102723,0
102773,0
102823,0
102873,0
102925,0
102982,0
103050,0
103100,0
103160,0
103210,0
103260,0
103310,0
103360,0
103410,0
103460,0
103510,0
103562,0
103612,0
103662,0
103718,0
103772,0
103822,0
103878,0
103928,0
103978,0
104028,0
104078,0
104128,0
104178,0
104246,0
104296,0
104353,0
104412,0
104470,0
104530,0
104580,0
104674,0
104735,0
104785,0
104835,0
104885,0
104971,0
105021,0
105114,0
105164,0
105214,0
105264,0
105314,0
105364,0
105416,0
105468,0
105521,0
105571,0
105631,0
105726,0
105776,0
105831,0
105891,0
105977,0
